invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,total,date,payment
455-53-2078,C,Naypyitaw,Normal,Male,Home and lifestyle,58.9,8,471.2,2019-01-20,e-wallet
674-20-5422,A,Naypyitaw,Member,Male,Sports and travel,26.17,7,183.19,2019-01-21,cash
203-60-3726,C,Yangon,Member,Female,Electronic accessories,46.79,6,280.74,2019-02-05,e-wallet
846-71-3195,B,Mandalay,Member,Female,Sports and travel,70.36,4,281.44,2019-03-23,credit card
113-18-9093,B,Mandalay,Member,Female,Electronic accessories,84.68,1,84.68,2019-03-16,e-wallet
278-41-3560,C,Naypyitaw,Normal,Female,Fashion accessories,53.1,6,318.6,2019-03-02,credit card
890-77-4724,B,Yangon,Normal,Female,Electronic accessories,63.25,10,632.5,2019-01-14,cash
801-54-4962,B,Yangon,Member,Male,Electronic accessories,52.03,6,312.18,2019-01-25,e-wallet
822-77-5257,A,Naypyitaw,Normal,Female,Fashion accessories,8.97,7,62.79,2019-01-26,cash
672-24-8626,C,Yangon,Member,Male,Health and beauty,7.49,3,22.47,2019-01-18,cash
814-99-2488,B,Yangon,Member,Female,Food and beverages,86.67,2,173.34,2019-03-16,e-wallet
895-76-2313,A,Naypyitaw,Member,Male,Sports and travel,85.74,2,171.48,2019-01-14,cash
227-13-3129,B,Naypyitaw,Member,Female,Health and beauty,28.34,5,141.7,2019-01-16,cash
726-39-2860,B,Yangon,Member,Male,Sports and travel,40.46,9,364.14,2019-02-01,credit card
438-85-5651,B,Yangon,Member,Female,Food and beverages,99.89,5,499.45,2019-01-05,e-wallet
955-67-5880,A,Naypyitaw,Member,Female,Food and beverages,83.82,2,167.64,2019-03-18,e-wallet
738-20-4621,C,Naypyitaw,Member,Female,Food and beverages,51.43,1,51.43,2019-03-02,cash
109-49-3232,C,Naypyitaw,Member,Male,Electronic accessories,49.77,1,49.77,2019-02-28,e-wallet
768-16-4789,B,Yangon,Normal,Male,Electronic accessories,38.77,5,193.85,2019-03-19,credit card
820-16-8926,C,Yangon,Normal,Male,Food and beverages,54.57,5,272.85,2019-02-06,credit card
970-73-1915,C,Yangon,Member,Male,Electronic accessories,43.73,1,43.73,2019-02-03,cash
968-23-6049,A,Mandalay,Normal,Male,Home and lifestyle,94.74,2,189.48,2019-03-05,cash
